Product title,Product vendor,Product type,Net items sold,Gross sales,Discounts,Returns,Net sales,Taxes,Total sales
The School for Good and Evil Series Box,Soman Chainani,Book,2,156,0,0,156,7.8,163.8
Hey Deggee : Duggee's Brilliant 10 Books Stories Collection Set,Online Book Store – Bookends,Book,1,156,0,0,156,7.8,163.8
Before We Say Goodbye,Toshikazu Kawaguchi;,Book,5,156.99,-2.21,0,154.78,7.74,162.52
Twisted #4 :Twisted Lies,Ana Huang;,Book,4,156,-2.39,0,153.61,7.68,161.29
Dog Man: Fetch 22 - Hardcover,Dav Pilkey,Book,6,153,0,0,153,7.65,160.65
The Fine Print,Lauren Asher;,Book,5,153,0,0,153,7.65,160.65
The Ickabog - Hardcover,J. K. Rowling;,Book,5,155,-2.12,0,152.88,7.64,160.52
The Psychology of Money,"Housel, Morgan",Book,6,154,-1.35,0,152.65,7.63,160.28
Eleanor Oliphant is Completely Fine,Gail Honeyman,Book,5,154,-1.43,0,152.57,7.62,160.19
The Last Thing He Told Me,Laura Dave;,Book,5,154.99,-3.85,0,151.14,7.56,158.7
King of Greed (Book 3),Ana Huang;,Book,4,151,0,0,151,7.55,158.55
The Book Thief,Markus Zusak;,Book,6,152,-1.17,0,150.83,7.54,158.37
Girls of Riyadh,Rajaa Alsanea,Book,9,168,-5.27,-12.05,150.68,7.53,158.21
Diary of a Wimpy Kid: The Deep End - Hardcover,Jeff Kinney,Book,6,151,-0.71,0,150.29,7.51,157.8
The BFG,Roald Dahl,Book,9,166,-0.93,-15,150.07,7.5,157.57
هوبا لولو هوبا,Kathy Urban; Siski Kalla;,Book,6,175,0,-25,150,7.5,157.5
The Book of Azrael (Hardcover),Amber V. Nicole;,Book,1,150,0,0,150,7.5,157.5
Fate Breaker- Hardcover,Victoria Aveyard,Book,1,150,0,0,150,7.5,157.5
Towers of Midnight- Hardcover,Robert Jordan; Brandon Sanderson;,Book,1,150,0,0,150,7.5,157.5
Poison Study (Hardcover),Maria V. Snyder;,Book,1,150,0,0,150,7.5,157.5
House of Fire and Magic (Hardcover),Sherrilyn Kenyon;,Book,1,150,0,0,150,7.5,157.5
To Bleed a Crystal Bloom (Hardcover),Sarah A. Parker,Book,1,150,0,0,150,7.5,157.5
A Memory of Light- Hardcover,Robert Jordan; Brandon Sanderson;,Book,1,150,0,0,150,7.5,157.5
Of Dust and Stars (Hardcover),Jenna Wolfhart,Book,1,150,0,0,150,7.5,157.5
Fairydale (Hardcover),Veronica Lancet,Book,1,150,0,0,150,7.5,157.5
Diary of a Wimpy Kid: Diper Overlode (Hardcover),Jeff Kinney;,Book,6,150,0,0,150,7.5,157.5
A River Enchanted- Hardcover,Rebecca Ross;,Book,1,150,0,0,150,7.5,157.5
المسند الجامع - (Hardcover),دار الجيل,Book,1,150,0,0,150,7.5,157.5
Diary of a Wimpy Kid: The Ugly Truth,Jeff Kinney,Book,8,148,0,0,148,7.4,155.4
Harry Potter and the Half-blood Prince - FIRST EDITION (Hardcover),J. K. Rowling,Book,3,148,0,0,148,7.4,155.4
Things We Left Behind,Lucy Score;,Book,4,148,0,0,148,7.4,155.4
The Love Hypothesis,Ali Hazelwood,Book,6,149.99,-2.2,0,147.79,7.39,155.18
Heart Bones,Colleen Hoover;,Book,4,149,-1.31,0,147.69,7.38,155.07
To Kill a Mockingbird,Harper Lee,Book,9,148,-0.94,0,147.06,7.35,154.41
Dog Man: A Tale of Two Kitties- Hardcover,Dav Pilkey,Book,6,151,-4.53,0,146.47,7.32,153.79
The Diamond Of Dubai,Sonya Bhalla,Book,2,146,0,0,146,7.3,153.3
The Cruel Prince,Holly Black;,Book,6,145,0,0,145,7.25,152.25
Inferno - Hardcover,Dan Brown,Book,5,145,-0.1,0,144.9,7.24,152.14
Diary of a Wimpy Kid: Big Shot - Hardcover,Kinney Jeff;,Book,6,144.99,-0.64,0,144.35,7.22,151.57
Code Name Bananas,David Walliams;,Book,6,143.99,-1.69,0,142.3,7.12,149.42
Scorpia,Anthony Horowitz,Book,7,141,0,0,141,7.05,148.05
The Kite Runner,Khaled Hosseini,Book,7,161,0,-20,141,7.05,148.05
Beach Read,Emily Henry;,Book,6,141,0,0,141,7.05,148.05
Festive GIft Box- Kids Age 1-8,Bookends,Book,2,140,0,0,140,7,147
What is Home?,Sara Galadari;,Book,7,140,0,0,140,7,147
Vintage Archie Comic Wooden Bookmark,Online Book Store – Bookends,Accessories,20,140,0,0,140,7,147
التليباثي : عندما يتخاطر العقل والقلب,منى كاظم,Book,5,140,0,0,140,7,147
