Product title,Product vendor,Product type,Net items sold,Gross sales,Discounts,Returns,Net sales,Taxes,Total sales
Puss in Boots- (Hardcover),Rosie Greening;,Book,1,9.99,-0.45,0,9.54,0.48,10.02
A to Z Mysteries: The School Skeleton,Ron Roy;,Book,1,13,0,0,13,0.65,13.65
The Canary Caper,Ron Roy;,Book,1,13,0,0,13,0.65,13.65
The Zombie Zone,Ron Roy;,Book,1,13,0,0,13,0.65,13.65
The Quicksand Question,Ron Roy,Book,1,10,0,0,10,0.5,10.5
The Yellow Yacht,Ron Roy,Book,1,13,0,0,13,0.65,13.65
The Harvard Business Review Leader's Handbook,Ron Ashkenas; Brook Manville;,Book,1,39,0,0,39,1.95,40.95
Bright Baby Touch & Feel On the Farm,Roger Priddy; Roger Priddy;,Book,1,18,-0.9,0,17.1,0.85,17.95
At the Zoo,Roger Priddy;,Book,1,12.99,-0.65,0,12.34,0.62,12.96
Bright Baby Touch & Feel Baby Animals - Board Book,Roger Priddy;,Book,1,18,0,0,18,0.9,18.9
Jolly Foul Play,Robin Stevens;,Book,1,23,-0.69,0,22.31,1.11,23.42
Top Marks for Murder,Robin Stevens;,Book,1,23,0,0,23,1.15,24.15
Mistletoe and Murder: (Murder Most Unladylike #5),Robin Stevens,Book,1,23,-0.69,0,22.31,1.11,23.42
Rich Dad Poor Dad,Robert T. Kiyosaki;,Book,1,30.8,0,0,30.8,1.54,32.34
The Rich Dad's Guide to Investing,Robert T. Kiyosaki;,Book,1,20,0,0,20,1,21
Room 13 and Inside the Worm,Robert Swindells;,Book,1,20,0,0,20,1,21
Curious George at the Aquarium,Robert Pierce Anderson; H. A. Rey; Margret Rey;,Book,1,18,0,0,18,0.9,18.9
The General,Robert Muchamore; Robert Muchamore;,Book,1,15,0,0,15,0.75,15.75
The Bourne Supremacy,Robert Ludlum;,Book,1,15,0,0,15,0.75,15.75
Dr Jekyll and Mr Hyde and Other Stories,Robert Louis Stevenson;,Book,1,18,0,0,18,0.9,18.9
The 48 Laws of Power,Robert Greene;,Book,1,25,0,0,25,1.25,26.25
The 48 Laws of Power,Robert Greene,Book,1,23,0,0,23,1.15,24.15
Robert Frost,Robert Frost;,Book,1,19,0,0,19,0.95,19.95
My Awesome Activity Pad (Blue),Robert Frederick;,Book,1,30.8,0,0,30.8,1.54,32.34
Mystery Stories of the Nineteenth Century -Hardcover,Robert Etty,Book,1,20,0,0,20,1,21
Voodoo River,Robert Crais;,Book,1,15,0,0,15,0.75,15.75
Charlie And The Great Glass Elevator,Roald Dahl;,Book,1,15,0,0,15,0.75,15.75
Danny the Champion of the World,Roald Dahl;,Book,1,17.99,-0.81,0,17.18,0.86,18.04
Going Solo,Roald Dahl;,Book,1,17.99,-0.82,0,17.17,0.86,18.03
Going Solo,Roald Dahl,Book,1,15,0,0,15,0.75,15.75
The BFG,Roald Dahl,Book,1,15,0,0,15,0.75,15.75
The Magic Finger,Roald Dahl,Book,1,14.99,-0.67,0,14.32,0.72,15.04
The Witches,Roald Dahl,Book,1,15,0,0,15,0.75,15.75
Le voleur de foudre,Rick Riordan;,Book,1,23,0,0,23,1.15,24.15
Percy Jackson and the Greek Heroes,Rick Riordan;,Book,1,24,0,0,24,1.2,25.2
Percy Jackson and the Lightning Thief,Rick Riordan;,Book,2,40,0,0,40,2,42
Sea of Monsters  (Percy Jackson and the Olympians #2),Rick Riordan,Book,1,23,0,0,23,1.15,24.15
Junior English 1,Richards;,Book,1,15,0,0,15,0.75,15.75
Junior English 2,Richards;,Book,1,15,0,0,15,0.75,15.75
Junior English 3,Richards;,Book,1,15,0,0,15,0.75,15.75
Junior English 4,Richards;,Book,1,15,0,0,15,0.75,15.75
The Impossible Fortune,Richard Osman;,Book,1,28,-10,0,18,0.9,18.9
The 80/20 Principle,Richard Koch;,Book,1,35,0,0,35,1.75,36.75
Lorna Doone,Richard Doddridge Blackmore;,Book,1,18,0,0,18,0.9,18.9
Tales of Arabian Nights,Richard Burton;,Book,1,18,0,0,18,0.9,18.9
Area 7,"Reilly, Matthew",Book,1,20,0,0,20,1,21
SUCH A FUN AGE,REID KILEY;,Book,1,41,0,0,41,2.05,43.05
The Things We Leave Unfinished,Rebecca Yarros; Rebecca Yarros;,Book,1,35,0,0,35,1.75,36.75
Divine Rivals (Hardcover),Rebecca Ross;,Book,1,29.98,-21.64,0,8.34,0.42,8.76
Hollow City,Ransom Riggs,Book,1,25,0,0,25,1.25,26.25
Library Of Souls: The Third Novel Of Miss Peregrine's Peculiar Children,Ransom Riggs,Book,1,25,0,0,25,1.25,26.25
Miss Peregrine's Home for Peculiar Children,Ransom Riggs,Book,1,25,0,0,25,1.25,26.25
The Last Lecture,Randy Pausch,Book,1,25,0,0,25,1.25,26.25
What If?,Randall Munroe;,Book,1,28,0,0,28,1.4,29.4
Imperial Life in the Emerald City,Rajiv Chandrasekaran,Book,1,23,0,0,23,1.15,24.15
Tinkle Digest No. 131,Rajani Thindiath,Book,1,10,-0.93,0,9.07,0.45,9.52
Tinkle Double Digest No. 97,Rajani Thandiath;,Book,1,10,-0.93,0,9.07,0.45,9.52
Ghosts,Raina Telgemeier,Book,1,25,0,0,25,1.25,26.25
Guts,Raina Telgemeier,Book,1,25,0,0,25,1.25,26.25
Smile,Raina Telgemeier,Book,1,25,0,0,25,1.25,26.25
Chanakya Neeti,Radhakrishnan Pillai;,Book,1,25,0,0,25,1.25,26.25
Katha Chanakya,Radhakrishnan Pillai;,Book,1,16,0,0,16,0.8,16.8
Lore Olympus: Volume One,Rachel Smythe,Book,1,28,0,0,28,1.4,29.4
Dork Diaries Books: Dear Dork,Rachel Renee Russell;,Book,1,22,0,0,22,1.1,23.1
Dork Diaries 10: Puppy Love,Rachel Renee Russell,Book,2,42,0,0,42,2.1,44.1
The Case of the Exploding Brains,Rachel Hamilton;,Book,1,20,0,0,20,1,21
Bring Me Your Midnight,Rachel Griffin;,Book,1,24.99,-1.04,0,23.95,1.2,25.15
The Lion Inside,Rachel Bright;,Book,1,19.99,-1,0,18.99,0.95,19.94
Animalia Indica: The Finest Animal Stories in Indian Literature,R. K. Narayan Premchand; Vikram Seth George Orwell; Thakazhi Sivasankara; Pendse Narayan Shripad Tharoor Kanishk Zacharia; Animalia Indica; R. R.;,Book,1,19.99,-1.01,0,18.98,0.95,19.93
Wonder,R. J. Palacio;,Book,1,22,0,0,22,1.1,23.1
Wonder,R. J. Palacio,Book,1,23,0,0,23,1.15,24.15
"Terjaja nevinnost. Kak ja postroil biznes, delaja vse po-svoemu i poluchaja udovolstvie ot zhizni",R. Brekson;,Book,1,20,0,0,20,1,21
Modern Classics Journeys End,R C Sherriff;,Book,1,16,0,0,16,0.8,16.8
The Mountains Sing,Que Mai Phan Nguyen;,Book,1,28,0,0,28,1.4,29.4
Spare - Hardcover,Prince Harry the Duke of Sussex,Book,1,20,0,0,20,1,21
Colours ABC Numbers,Priddy Books; Roger Priddy;,Book,0,13,0,-13,0,0,0
Great Illustrated Fairy Tales - Hardcover,Playmore Inc.,Book,1,20,-1,0,19,0.95,19.95
The Dukan Diet Recipe Book,Pierre Dukan,Book,1,18,0,0,18,0.9,18.9
Nickelodeon Paw Patrol: Sound Storybook Treasury,Pi Kids;,Book,1,20,0,0,20,1,21
The Kingmaker's Daughter,Philippa Gregory;,Book,1,15,0,0,15,0.75,15.75
Northern Lights,Philip Pullman;,Book,1,23,0,0,23,1.15,24.15
The Library Cat,Philip Ardagh;,Book,1,16,0,0,16,0.8,16.8
"Hess, Hitler & Churchill",Peter Padfield;,Book,1,25,0,0,25,1.25,26.25
Hungry Planet- [Hardcover],Peter Menzel; Faith D'Aluisio;,Book,1,28,0,0,28,1.4,29.4
Cogheart,Peter Bunzl;,Book,1,20,0,0,20,1,21
Five Brothers,Penelope Douglas;,Book,1,28,0,0,28,1.4,29.4
Amelia Bedelia and the Surprise Shower,Peggy Parish;,Book,1,13,0,0,13,0.65,13.65
Maktub,Paulo Coelho;,Book,1,25,0,0,25,1.25,26.25
Once Minutos,Paulo Coelho;,Book,1,18,0,0,18,0.9,18.9
The Alchemist,Paulo Coelho,Book,1,15,0,0,15,0.75,15.75
The Wishing Pearl,Paula Harrison;,Book,1,17.99,-0.82,0,17.17,0.86,18.03
The Pregnancy Encyclopedia,Paula Amato;,Book,1,35,0,0,35,1.75,36.75
Midnight Over Sanctaphrax: The Edge Chronicles,Paul Stewart & Chris Riddell,Book,1,15,0,0,15,0.75,15.75
When Breath Becomes Air (Hardcover),Paul Kalanithi,Book,1,28,0,0,28,1.4,29.4
Tinkers,Paul Harding;,Book,1,15,0,0,15,0.75,15.75
No One Is Talking About This,Patricia Lockwood;,Book,1,39,0,0,39,1.95,40.95
Chacun dans son lit !,Pascale Bougeault;,Book,1,10,0,0,10,0.5,10.5
London Looters,"Parragon, Incorporated; Sidney Jacobson; Pable Zamboni; Walter Carzon; Duendes del Sur;",Book,1,10,0,0,10,0.5,10.5
Sesame Street: Abby Cadabby's Rhyme Time,P. J. Shaw,Book,1,10,0,0,10,0.5,10.5
Pocket Oxford Dictionary- Indian Edition,Oxford Dictionaries;,Book,1,20,0,0,20,1,21
"Pirates Past Noon (Magic Tree House, No. 4)","Osborne, Mary Pope;",Book,1,13,0,0,13,0.65,13.65
The Museum of Innocence,Orhan Pamuk;,Book,1,22,0,0,22,1.1,23.1
Beautiful Gift Wrap,Online Book Store – Bookends,Gift Wrap,5,47.62,-7.36,0,40.26,2.01,42.27
book sleeve,Online Book Store – Bookends,Accessories,1,15,0,0,15,0.75,15.75
Bookends Metal Bookmark,Online Book Store – Bookends,Accessories,1,20,0,0,20,1,21
Claude Monet Metal Bookmark (Design 2),Online Book Store – Bookends,Accessories,1,15,0,0,15,0.75,15.75
Dainty Crochete Flower Bookmark,Online Book Store – Bookends,Accessories,1,18,0,0,18,0.9,18.9
Daisy Crochet Bookmark,Online Book Store – Bookends,Accessories,1,20,0,0,20,1,21
Deer Watercolor Bookmark,Online Book Store – Bookends,Accessories,1,20,0,0,20,1,21
DIY Bookshelf Bookmark,Online Book Store – Bookends,Accessories,1,5,0,0,5,0.25,5.25
Hand Painted Wooden Bookmark Design 4,Online Book Store – Bookends,Accessories,1,20,0,0,20,1,21
Help with Homework,Online Book Store – Bookends,Book,1,16,0,0,16,0.8,16.8
Jataka Tales and moral Stories,Online Book Store – Bookends,Book,1,10,0,0,10,0.5,10.5
Junior Encyclopedia_Scientific Discoveries  - [Hardcover],Online Book Store – Bookends,Book,1,10,-0.38,0,9.62,0.48,10.1
Leaf Crochet Bookmark,Online Book Store – Bookends,Accessories,1,23,0,0,23,1.15,24.15
Los juegos del hambre,Online Book Store – Bookends,Book,1,20,0,0,20,1,21
Magiczna Przygoda,Online Book Store – Bookends,Book,1,23,0,0,23,1.15,24.15
Mini Love Jar,Online Book Store – Bookends,Accessories,4,40,0,0,40,2,42
Mountain Landscape Watercolor Bookmark,Online Book Store – Bookends,Accessories,1,28,0,0,28,1.4,29.4
My Fairy Story- (Hardcover),Online Book Store – Bookends,Book,1,17.99,-0.89,0,17.1,0.86,17.96
Raccoon Watercolor Bookmark,Online Book Store – Bookends,Accessories,1,19.99,-1.04,0,18.95,0.95,19.9
Reading List Bookmark,Online Book Store – Bookends,Accessories,4,40,0,0,40,2,42
Set of 2 Magnetic Bookmarks,Online Book Store – Bookends,Accessories,1,10,0,0,10,0.5,10.5
Six of Crows Bookmark,Online Book Store – Bookends,Accessories,1,10,0,0,10,0.5,10.5
Stick and Play: My Toolbox: With Reusable Play Stickers,Online Book Store – Bookends,Book,1,30,0,0,30,1.5,31.5
The Earth Conscious Bookmark (set of 8),Online Book Store – Bookends,Accessories,1,20,0,0,20,1,21
The Score Bookmark,Online Book Store – Bookends,Accessories,1,10,0,0,10,0.5,10.5
Van Gogh Metal Bookmark (Design 2),Online Book Store – Bookends,Accessories,2,30,0,0,30,1.5,31.5
We Hunt the Flame Duology Bookmark,Online Book Store – Bookends,Accessories,1,10,0,0,10,0.5,10.5
